,ENSG00000228978.2,ENSG00000231314.7,ENSG00000204490.3,ENSG00000204487.8,ENSG00000228849.3,ENSG00000236925.7,ENSG00000228321.3,ENSG00000223448.7,ENSG00000223952.3,ENSG00000236237.7,ENSG00000206439.5,ENSG00000206437.10,ENSG00000230108.3,ENSG00000238114.7,ENSG00000262795.5,ENSG00000028137.18,ENSG00000188257.10,ENSG00000119535.17,ENSG00000177606.6,ENSG00000116678.19,ENSG00000184371.13,ENSG00000143575.14,ENSG00000134470.20,ENSG00000134460.15,ENSG00000107968.9,ENSG00000026103.21,ENSG00000107447.7,ENSG00000026508.17,ENSG00000110395.6,ENSG00000010278.12,ENSG00000067182.7,ENSG00000111321.10,ENSG00000175899.14,ENSG00000139567.12,ENSG00000135503.12,ENSG00000170581.13,ENSG00000139269.2,ENSG00000179295.17,ENSG00000213928.8,ENSG00000006327.13,ENSG00000185338.4,ENSG00000077238.13,ENSG00000141506.13,ENSG00000108688.11,ENSG00000168610.14,ENSG00000259207.7,ENSG00000177885.13,ENSG00000184557.4,ENSG00000175354.18,ENSG00000105246.5,ENSG00000105397.13,ENSG00000096996.15,ENSG00000105329.9,ENSG00000115386.5,ENSG00000115590.13,ENSG00000115594.11,ENSG00000115604.10,ENSG00000125538.11,ENSG00000115145.9,ENSG00000115232.13,ENSG00000115415.18,ENSG00000196396.9,ENSG00000243646.9,ENSG00000142166.12,ENSG00000159128.14,ENSG00000177663.13,ENSG00000100292.16,ENSG00000100368.13,ENSG00000172936.12,ENSG00000163823.3,ENSG00000056736.9,ENSG00000004468.12,ENSG00000163739.4,ENSG00000163737.3,ENSG00000163734.4,ENSG00000138755.5,ENSG00000169245.5,ENSG00000169248.12,ENSG00000156234.7,ENSG00000137462.6,ENSG00000145431.10,ENSG00000145623.12,ENSG00000134352.19,ENSG00000164400.5,ENSG00000125347.13,ENSG00000170458.13,ENSG00000232810.3,ENSG00000227507.2,ENSG00000030110.12,ENSG00000137193.13,ENSG00000146072.6,ENSG00000027697.13,ENSG00000136244.11,ENSG00000135218.17,ENSG00000104432.13,ENSG00000122756.14,ENSG00000205755.11,ENSG00000198223.16,ENSG00000185291.11,ENSG00000147168.12,ENSG00000131724.10,ENSG00000124334.17
GTEX-OHPN-0005-SM-2YUML.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08374589198128199,0.0012735800088449275,0.10217384628675673,0.07902010014846036,0.08559805805970856,0.057924140663652826,0.3321415289867331,0.15597210401274061,0.008965969691828155,0.06250569898338322,0.056607290537993044,0.0001923318888862642,0.09526893725582512,0.045389333087731576,0.09250477883579368,0.10084352770073507,0.21457732765066992,0.05946286674289874,0.053203989580165874,0.08197251743611426,0.12272912903159727,0.022505544052733598,0.04045536235018088,0.14657489310045058,0.016016688216761207,0.026121191301691934,0.08415471939658258,0.10877867404252557,0.0,0.13290988305473284,0.007006099490267422,0.118268265576536,0.03593253930723899,0.2845839420189427,0.0014195762009699207,0.1651323607702132,0.26815449114855255,0.1973594891586334,0.0,0.004342135700081627,0.009855117259242046,0.018644374948977194,0.049546694514627974,0.10899024729016535,0.1057797297287994,0.043236711769748304,0.07107545818671257,0.10521970987640492,0.10159495404556068,0.11285608564109627,0.058559015266121436,0.07601704028251376,0.04509461814979185,0.08990349843849271,0.07427834147425132,0.003399539431900085,0.07945529671796646,0.001758059792048725,0.04512186108162645,0.0014491415474076148,0.0014688378921237247,0.008569411233393024,0.023771701233219276,0.0,0.04787534876544434,0.02128577240090484,0.046791502383349816,0.03420636509142402,0.021275221833684622,0.12055863854891805,0.11317205140689064,0.010297745226608493,0.07083286514710095,0.23698741814533963,0.4727787015364218,0.006775773181271129,0.07029799142404501,0.0005429090467723367,0.16467468146363717,0.005588472565889116,0.015722804160599162,0.0041321668971672715,0.10724502529015432,0.06453987496781237,0.23520751933090275,0.04652775871657681,0.005944504076860436
GTEX-ZVT2-0001-SM-57WCK.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02371194887815922,7.379594377686419e-05,0.0001110702189454496,0.024863550896280555,0.34801150821051147,0.21954589095670082,0.6550165983499957,0.7013572515278833,0.2594827638451529,0.18807413327102954,0.39418893045092,0.0008358316611546155,0.15439768897751827,0.23005454155676097,0.10209067703526646,0.015004160830459044,0.03294932178157612,0.028980382354493132,0.0278850761401364,0.03824338840932771,0.3654930458754263,0.17387394609934226,0.5752523352058034,0.2985289655726574,0.0036418601364068834,0.43229721422261486,0.036217649151233676,0.1722113372952519,0.014918961614724013,0.33265957272347496,0.019701763913642242,0.395775454567878,0.018898913729516773,0.5355603996930001,0.3555592083683098,0.30178001352146244,0.203888353960127,0.14684241620461155,0.0016458147389669519,0.0008165701075471824,0.018487153384435386,0.1743292149568754,0.00451265482959389,0.4958503294172319,0.49042853096045286,0.47799551590083045,0.3319751283410958,0.15861911987602195,0.2102642555953273,0.13600017750311427,0.0165953324283723,0.04865152434987151,0.045633915364782104,0.1337091100874638,0.007579455361983386,0.08145367692286927,0.6503521959569923,3.0869241577041884e-05,0.0,0.00052480393563083,0.04645582526379908,0.2424787097004818,0.022957007222473694,0.17603685424801513,0.0005822956561663945,0.0027047730427861,0.03832778607719245,0.1542950603247784,0.10273043071336838,0.07739782846890357,0.00044918336347817467,0.3192812275006351,0.04615197244084416,0.5474779897733542,0.05443037696212728,0.020939381303401183,0.09837133486154394,0.0070780863180925765,0.00046051453149814896,0.16310772316741481,0.03289857708475781,0.03591495868758247,0.0006281702362248704,0.07621166398166036,0.161763215113934,0.004913694145877496,0.05310218232219719
GTEX-1IKOH-0001-SM-EAZDF.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047474930734514975,0.0,0.0,0.02838458239178016,0.47846629644973687,0.27251187741933314,0.7233915420567287,0.6127081154098359,0.14068941479695204,0.15436047110150422,0.4712810110406648,0.0,0.14430936023705568,0.36345560681481104,0.007524984664978593,0.004959769089340621,0.005827130189378111,0.0006464900421297888,0.004721171486457952,0.0031891400461078025,0.4214795448596504,0.5822317357441423,0.697100426056963,0.32730372477707975,0.012926246805267922,0.2187903129484733,0.031064446461262246,0.14284860546401004,0.0,0.3826237403034551,0.04574065010418236,0.41178473705214197,0.0015802481845200592,0.7425850562984586,0.35742133459665004,0.3579705608402828,0.27582670609519516,0.11538596665262822,0.0,9.800682614028143e-05,0.009926988431025865,0.025912205285594753,1.1377747987601107e-05,0.4116357370601388,0.3873361821461397,0.5509632056053573,0.19664810106198863,0.1286493364705658,0.22970514573307588,0.18534709272752048,0.013679186093138937,0.021462860701195064,0.02432675805099487,0.1300426785593575,0.006987100551352152,0.028198169059577782,0.24011103871292613,6.471753672104423e-05,0.0,0.0005501271855152495,0.0022304174689289713,0.005060446172038681,0.0,0.0014645327158349798,0.0004955213682378482,0.0005670571733410696,0.106619825547902,0.1968745514094281,0.06461247587312685,0.05868443630930424,0.00015724213544546616,0.3592403246549835,0.04038351536827249,0.5173727979439073,0.02086831492364138,0.0013718602940048649,0.04636457419873729,0.0008244026304426221,0.0002413678193908981,0.23760930547065745,0.002652771150157021,0.016732424603863746,0.00016462029941879564,0.06683005309895963,0.19890485015071085,0.009281091845007259,0.3054025838015498
GTEX-XYKS-0005-SM-4BRUD.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07126615105016545,0.0005901804592255569,0.17773822696667751,0.002993071998928637,0.12234258864258968,0.01811867411111991,0.2664433862653566,0.11816848839922325,0.039957394103916764,0.03979734187167845,0.0752324108615525,9.2840753458665e-05,0.12627404678342097,0.15450139320833509,0.07737491345219182,0.19489255645109885,0.24476661958631857,0.02265953483156139,0.28863818904602206,0.19023432875762045,0.06869773252204975,0.0024141506168231875,0.04179875628972279,0.12421716611743822,0.028015200606414065,0.08532659753463133,0.15000645496297826,0.17279820787236153,0.0,0.17101902729312568,0.023790173280237928,0.3793047912262881,0.06039649487406108,0.1675812555795767,0.003230442157754517,0.2488065569737493,0.09226513783462727,0.14014414990844876,0.09049112437659541,0.1847242897649717,0.06712213499708923,0.13699429044951253,0.021128040870908343,0.22405037392694424,0.02427615508633727,0.020505201608145594,0.14888068700297927,0.3375801688087763,0.18344889416068733,0.359255140427339,0.18278089559402785,0.21673920021706347,0.08004930835460616,0.29661968023896074,0.12925311717215923,0.0020260462989420886,0.01926391730195963,0.001234378357228553,0.042771220576892144,0.0012241544516624243,0.0010635367130464167,0.0,0.0,0.002793350271769564,0.20838619691652857,0.0821990428771085,0.011205204443697214,0.09267008332362323,0.02053957496572566,0.08112312977061134,0.06549240079338357,0.015304944798954815,0.11833684251715872,0.2227770429510732,0.16951566327064407,0.014391262523602677,0.1984579564356412,0.001834477874554289,0.22404604796215075,0.005395236397922978,0.0025298577946102057,0.003989286335942204,0.2803891253240377,0.016065843037907635,0.15048843774447246,0.20814377582757085,0.02582530731469977
GTEX-16NGA-0006-SM-9JGFQ.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15378761149548248,2.478982609130187e-05,0.22502838176786025,0.011232441722686008,0.3270841335669178,0.017511622889216275,0.15133965519152964,0.04644593831821612,0.01960308434387055,0.07253292403276071,0.1870439706605537,0.0,0.07019365374114449,0.3151456636611325,0.1427858911855343,0.3366908787514197,0.26693112338123426,0.00654735831075526,0.02958966909746904,0.35840787951056174,0.06925502070785167,0.01703579077604227,0.06369380794566352,0.13460065773265212,0.04304450735338156,0.0964644160727047,0.1687838673142244,0.3627150297420924,0.0,0.3671791510863297,0.03863317072474899,0.4941509361156695,0.020676806594880706,0.15469612894335258,0.00034539493888287304,0.3783299054620245,0.11192619002612907,0.1900138485137478,0.39364245319458324,0.19068242374580405,0.12827920867805828,0.7820203855343156,0.03178784621592915,0.35796784661050907,0.06029822113525044,0.031644550077033276,0.10843210397261618,0.3881482584288926,0.2448440131756772,0.4622685627448465,0.351263330711152,0.022813749042514993,0.29958214736002936,0.38629598994303643,0.05021939526475324,0.0023346228634715475,0.024371393165950956,0.007652851921555262,0.09101557000034961,0.0008814710965454027,0.0003573807264677207,0.00027800139855802924,0.0,0.0,0.4879712188124167,0.015809606714528728,0.03181166556659817,0.11197222988544989,0.0,0.16719265278087928,0.03751114730123894,0.006461626955860358,0.10686099397823184,0.10482733255552404,0.16360924613044017,0.001758510002054861,0.41812321629909577,0.00026418875844885076,0.041613726415552166,0.005438891238173931,0.0025503278036581676,0.004021565117605575,0.3691486287323183,0.1621373811304498,0.11985113003379176,0.49287807701438463,0.03037331426039722
GTEX-1KXAM-0005-SM-DIPEC.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22726736727619018,0.00015219383338422235,0.5174366667090291,0.003432204206319237,0.34453573363080875,0.009793481052627869,0.2115378018106431,0.13613170153621065,0.05403194922609059,0.08885117606553501,0.19327393997804335,0.0,0.15117825644360974,0.49036751155634434,0.17646281309920894,0.5658791762181729,0.6565447945334492,0.007333183578939929,0.03937671627690664,0.6258761396958616,0.14401786090202565,0.009960853999763862,0.10906397122466173,0.21723056098746388,0.07920902276490044,0.08837132710925494,0.3515460705501577,0.5026483916279506,0.0,0.4664470525787566,0.05357328960286739,0.5964753570787418,0.09000937328909622,0.27223170604139046,0.0005048824271938092,0.6758187836729117,0.2336862564282336,0.2581915345011346,0.0,0.4921535366102997,0.2958834517160002,0.8661189605587305,0.03248406844918445,0.466464584495061,0.03652937152244386,0.04663742548555133,0.18710779299372027,0.5809644030250488,0.4085325618006103,0.5670545824248534,0.5353325782213163,0.02549074624469135,0.4933553765306337,0.6244348538623553,0.28486277047585046,0.0047765712364630395,0.03273266858009957,0.006461845446182553,0.06966605911209275,0.0014431131514091573,0.0007313637798887925,0.0,0.023672811494775688,0.0014406803180279143,0.5042949998081102,0.2521354020966274,0.036100636929125955,0.15586788737584897,0.0,0.17002416495442205,0.15503825117947886,0.011739169671900767,0.24201016595302063,0.21930877809491647,0.19470170151978902,0.0022491953727939076,0.789303450389084,0.001081301114881073,0.0929960546628798,0.005565224646654477,0.0026095662752638224,0.02057488588256703,0.6546391302782151,0.01562789597180463,0.20222475834853373,0.539732918259694,0.013319493917868273
GTEX-1B97J-0005-SM-7MXT5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09104648323269478,0.00014600415663003976,0.1976914805342991,0.0006398531068280475,0.06286777094859274,0.011737112558852634,0.10438442047001403,0.06029885521664172,0.010957806133617378,0.016504764335712442,0.04469101488875926,0.0,0.1154498817765092,0.12297215698630998,0.025647330088611763,0.37959467883895825,0.3617653761203737,0.01284903917075461,0.08410642408194478,0.11586205510562952,0.03618377218215848,0.0023889372769114476,0.014322910288803238,0.12376570314866134,0.03575415815399965,0.03076595281692871,0.2147023442825529,0.1987229822594443,0.0,0.2056973047934177,0.10026445638096845,0.3120233838727417,0.05898674479758318,0.07460512542801649,0.00029060940778196525,0.22981206449736183,0.05013589911508565,0.2532069663431351,0.017909207383037973,0.24794059556101944,0.09766291557701065,0.1112506062946292,0.030834753123737128,0.10157058569036295,0.0038823140658480145,0.014670528921448494,0.04956191710445418,0.27147102126321876,0.24393706785622446,0.24815869060286352,0.2197123813673675,0.0188174596952877,0.10500980815125528,0.2946434296770058,0.0933587255580154,0.0004782256347514621,0.0035017836175635286,0.004672185995558271,0.18146528808085025,0.0015574749524768783,0.0,0.0008186697153288708,0.045420090952449046,0.001382088289189314,0.23787081077493075,0.018729733691543467,0.011063637914638748,0.0381332571277682,0.0,0.09566648215983116,0.14906598579753985,0.0075078274827592014,0.11254885626347128,0.12503422106530743,0.3039577662456439,0.0017261770267493976,0.13526974732859032,0.00025933123213798295,0.05648950342603178,0.0011864197019514345,0.005006872022576796,0.0,0.1885987384459645,0.007489473075798516,0.14149649179703436,0.2490401760668179,0.0014197549072597483
GTEX-ZPU1-0004-SM-4WWAV.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255846089779774,0.00020073026622457565,5.296891054918383e-05,0.02345537643346531,0.17771428170025766,0.19089835038228933,0.6751236144397188,0.7279471052449409,0.173799135989487,0.17224931548784483,0.5713222537992062,0.00037892035631343756,0.03538502888018905,0.20173730009558818,0.12166553770950365,0.021916743038262194,0.015219858833374714,0.028977228105128847,0.0209981860204025,0.004566674848181009,0.30654699205106406,0.05911870236996097,0.5162458578666184,0.31818015123210647,0.006405398473722202,0.32005352348980093,0.03578882263644385,0.19763307059501298,0.006340726077397921,0.3174999026342456,0.13884300156771806,0.4444882642640618,0.006995695373259075,0.44554975862846435,0.5773813135691258,0.33995624119704837,0.1743198445065237,0.21016707057497258,0.1768310037807687,0.00031906718329803926,0.009646310847392446,0.029377866111334333,0.004325833392998505,0.3844387970107729,0.33247736827989266,0.42155551177857664,0.417483310740524,0.1548558295844769,0.19797306306773743,0.19338082931381848,0.010439413693491283,0.0380790343091001,0.06029584375661193,0.12861665262609231,0.014437246085043532,0.24138584738001728,0.3849153521716648,0.0,8.961319717827484e-05,0.0007137521950624332,0.008681439890282538,0.05768331825047659,0.0,0.021376468055292315,0.0015292966314435158,0.004414306140704641,0.070261483152611,0.2686726802072382,0.06287268339548056,0.06408086371031854,0.00043295724400744493,0.6393382803058254,0.06602737481974141,0.37845072872758356,0.024507179968471477,0.025808468783621807,0.10325943962329227,0.001337007156223682,0.0009394744457847459,0.4404024788976756,0.012906705585155913,0.016281877769599933,0.0010412196540801066,0.30148450776448654,0.22588212815343608,0.002072406534622058,0.1127231217535411
GTEX-VJYA-0005-SM-3P5ZD.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12315372870269577,0.0005195335891903873,0.29107675301061803,0.0030494100370904013,0.12785229059542785,0.0402875067987212,0.19519777402369373,0.1634914854842745,0.019834466827803807,0.012542264447333805,0.04330709584560048,0.0,0.2699889379763736,0.14920243801107433,0.0822137639079402,0.3962973391429295,0.4555041732211682,0.03907349758494347,0.1695402639207206,0.10977482516258855,0.08231319524530675,0.01457257718611508,0.019149103928485164,0.23919540743028536,0.030035467045222298,0.027455876851921406,0.37947823689308197,0.19611914755485604,0.0,0.21392188023396497,0.10566321233879354,0.3400241477398107,0.10150525118809801,0.08739723343789488,0.0003446964619873327,0.34319101407901104,0.13284576929231703,0.2486997642427108,0.024828775754068232,0.012504885648463363,0.047475919894129165,0.015463284100926454,0.13202789919076938,0.12417611322015212,0.011926192845154341,0.01863374762396796,0.0874582304777565,0.31329353974910296,0.22611560143441267,0.270725072972813,0.21156917544563586,0.059903786875764635,0.1670712412305979,0.3123651225481328,0.22575505596768353,0.004074715355432403,0.007776751333020156,0.003042531861756221,0.3043915983646934,0.0012315639511928749,0.0014266320449780677,0.0006935980215895602,0.06926592292752191,0.0,0.11043287290639058,0.01142518443381943,0.021514915593970334,0.029924353446643535,0.0,0.17333850456553274,0.24911013001827773,0.02105652210187743,0.4113675958798446,0.2946903415507855,0.18084540279392472,0.008336030764322223,0.08861847236329129,0.001318272506086518,0.26994222332160445,0.0,0.01527102233180668,0.008026864968976258,0.17784385097202413,0.05340854810435931,0.21731511469887585,0.09788014983667398,0.033198738475433934
GTEX-14PJP-0005-SM-7P8OM.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796036942235722,0.00012172619388402061,0.3033500797598109,0.0009971663713113298,0.2094428924076021,0.059658643476762176,0.23724047709662008,0.1261072778194415,0.009626866661675072,0.07212202926245294,0.0906477094900322,0.0,0.3145991163676772,0.21225373356532204,0.3291553204720333,0.3134061147790574,0.29671347960330574,0.014417500805668431,0.06964258163611399,0.4664713765592498,0.0930514718967605,0.00717011416584924,0.06226174851971355,0.1756399993316573,0.05315592197149518,0.02188809187718461,0.29900773594720154,0.1483588400087183,0.0,0.20938496813280283,0.021587186699025575,0.5859937734541497,0.12268244637548846,0.2304032646509001,0.0004361149728804191,0.28152250124739736,0.056000891352659225,0.29980509846264064,0.0010859066434243663,0.4813672524953479,0.08702453954706399,0.26172777083766047,0.02319323767020064,0.36144718101107703,0.009711429652873516,0.025414850495573363,0.2785800276723368,0.5731490219264757,0.34120998854505896,0.5790312200513211,0.4215682274567627,0.05759067334991612,0.2044463575273406,0.6079788364634758,0.29971281946937484,0.009445989081729297,0.012138486772843637,0.007179540068267531,0.04095284183906604,0.0017313251203306108,0.0007019427315092991,0.00040952347164037293,0.0,0.0,0.1704229738846957,0.20772814957931493,0.011069818506891812,0.07503013175783213,0.0,0.10328458718824539,0.1767019609413603,0.02512395980368183,0.11208381862436372,0.5006402158981194,0.3053680390993035,0.001295229313037977,0.2825232467474384,0.0005189014544028157,0.1639254296715748,0.001186966382335298,0.0,0.007898882604822056,0.36524815238930985,0.039938062436185987,0.17448944300951347,0.16449711293835795,0.005681636416863472
